customer_id,title,first_name,last_name,dob,gender,nationality,email,phone,employment_status,annual_income_gbp,source_channel,consent_obtained,pep_flag,created_at,updated_at,data_masked,address_type,address_line1,address_line2,city,county,postcode,country,raw_address,std_address,std_provider,std_status,classification,geo_lat,geo_lon,is_primary,id_type,id_value_masked,issuing_country,expiry_date,document_present,name_on_document,dob_on_document,address_on_document,upload_channel
CUST-0001,Mr,Ava,Smith,2/13/02,Non-Binary,Ireland,ava.smith1@gmail.com,4.47433E+11,Salaried,33024.83,API,TRUE,FALSE,2025-10-22T10:52:47Z,2025-11-15T19:38:47Z,TRUE,Current,24 High Street,Flat 7,London,Greater London,NW3 8NH,United Kingdom,24 High Street Flat 7 London Greater London NW3 8NH,"24 High Street, London, Greater London, NW3 8NH, United Kingdom",RoyalMail,PARTIAL,Residential,55.311652,-4.382385,TRUE,UK_DL,UKDL-WQC38HYF,United Kingdom,,TRUE,Ava Smith,2/13/02,"24 High Street, London, NW3 8NH",API
CUST-0002,Dr,James,Lewis,7/5/99,Prefer-Not-To-Say,United States,james.lewis2@gmail.com,4.47255E+11,Self-Employed,60910.59,BRANCH,TRUE,FALSE,2026-01-05T04:14:47Z,2026-01-01T10:33:47Z,TRUE,Current,119 Main Street,Apartment 18,Leeds,West Yorkshire,WC5 0HB,United Kingdom,119 Main Street Apartment 18 Leeds West Yorkshire WC5 0HB,"119 Main Street, Leeds, West Yorkshire, WC5 0HB, United Kingdom",Custom,STANDARDIZED,Organization,56.391953,-1.52974,TRUE,UK_PASSPORT,UKP-8Q1ZXOI65,United Kingdom,7/2/08,TRUE,James Lewis,7/5/99,,BRANCH
CUST-0003,Ms,Ava,Green,8/16/82,Non-Binary,United States,ava.green3@gmail.com,4.47451E+11,Student,5986.31,BRANCH,TRUE,FALSE,2025-11-04T11:16:47Z,2025-12-15T00:45:47Z,TRUE,Current,130 Main Street,,Sheffield,South Yorkshire,WC8 9GE,United Kingdom,130 Main Street  Sheffield South Yorkshire WC8 9GE,,,FAILED,Residential,56.457039,0.929454,TRUE,UK_PASSPORT,UKP-FF5E8II49,United Kingdom,8/14/91,TRUE,Ava Green,8/16/82,,BRANCH
CUST-0004,Mr,Isla,Clark,6/6/98,Male,Canada,isla.clark4@gmail.com,4.47098E+11,Other,87830.29,API,TRUE,FALSE,2025-11-15T03:11:47Z,2025-12-15T01:43:47Z,TRUE,Current,9 Station Road,Flat 28,Leeds,West Yorkshire,NW3 4VP,United Kingdom,9 Station Road Flat 28 Leeds West Yorkshire NW3 4VP,"9 Station Road, Leeds, West Yorkshire, NW3 4VP, United Kingdom",ISO,PARTIAL,Residential,53.997302,-2.191303,TRUE,UK_DL,UKDL-DGDZVGPM,United Kingdom,,TRUE,Isla Clark,6/6/98,,API
CUST-0005,Ms,Olivia,Brown,9/10/77,Unspecified,Ireland,olivia.brown5@gmail.com,4.47327E+11,Self-Employed,27214.49,WEB,TRUE,FALSE,2025-10-30T14:08:47Z,2025-12-21T23:04:47Z,TRUE,Business,100 High Street,,Bristol,Bristol,N8 7EG,United Kingdom,100 High Street  Bristol Bristol N8 7EG,"100 High Street, Bristol, Bristol, N8 7EG, United Kingdom",,STANDARDIZED,Residential,53.795366,-0.264171,TRUE,UK_PASSPORT,UKP-EEPZHPCF0,United Kingdom,9/9/83,TRUE,Olivia BrownX,9/10/77,,WEB
CUST-0006,,Olivia,King,not-a-date,Unspecified,United States,olivia.king6@gmail.com,4.47991E+11,Self-Employed,62120.41,MOBILE,TRUE,FALSE,2025-11-30T03:31:47Z,2025-12-01T23:02:47Z,TRUE,Current,63 Station Road,Apartment 19,Edinburgh,City of Edinburgh,SE8 4TZ,United Kingdom,63 Station Road Apartment 19 Edinburgh City of Edinburgh SE8 4TZ,"63 Station Road, Edinburgh, City of Edinburgh, SE8 4TZ, United Kingdom",RoyalMail,STANDARDIZED,Residential,52.095651,-0.856279,TRUE,UK_PASSPORT,UKP-NQ65QDF1R,United Kingdom,4/15/62,TRUE,Olivia King,4/17/53,"63 Station Road, Edinburgh, SE8 4TZ",MOBILE
CUST-0007,Ms,Lucas,Davies,8/17/39,Male,Australia,lucas.davies7@gmail.com,4.4762E+11,Retired,159291.02,MOBILE,TRUE,FALSE,2026-01-02T22:27:47Z,2025-12-19T10:05:47Z,TRUE,Correspondence,144 Green Lane,Apartment 27,Manchester,Greater Manchester,CR2 2NA,United Kingdom,144 Green Lane Apartment 27 Manchester Greater Manchester CR2 2NA,"144 Green Lane, Manchester, Greater Manchester, CR2 2NA, United Kingdom",RoyalMail,STANDARDIZED,Residential,52.881992,-0.81065,TRUE,UK_DL,UKDL-3WTOOBMZ,United Kingdom,,TRUE,Lucas Davies,,"144 Green Lane, Manchester, CR2 2NA",MOBILE
CUST-0008,Dr,Amelia,Taylor,6/2/66,Male,Germany,amelia.taylor8@gmail.com,4.47966E+11,Other,163807.59,BRANCH,TRUE,FALSE,2025-12-03T18:07:47Z,2025-12-07T07:58:47Z,TRUE,Permanent,66 Church Street,,Newcastle upon Tyne,Tyne and Wear,SW8 8VX,United Kingdom,66 Church Street  Newcastle upon Tyne Tyne and Wear SW8 8VX,"66 Church Street, Newcastle upon Tyne, Tyne and Wear, SW8 8VX, United Kingdom",,STANDARDIZED,PO_Box,53.019082,1.142121,TRUE,UK_PASSPORT,UKP-UZS9IM0YL,United Kingdom,6/1/69,TRUE,Amelia Taylor,6/2/66,,BRANCH
CUST-0009,Mx,Arthur,Clark,5/3/72,Unspecified,United States,arthur.clark9@gmail.com,4.47134E+11,Retired,26135.38,WEB,TRUE,FALSE,2025-12-21T15:46:47Z,2025-12-13T23:08:47Z,TRUE,Current,197 London Road,,Liverpool,Merseyside,WC9 3WW,United Kingdom,197 London Road  Liverpool Merseyside WC9 3WW,"197 London Road, Liverpool, Merseyside, WC9 3WW, United Kingdom",ISO,STANDARDIZED,Residential,54.813357,0.748619,TRUE,FOREIGN_PASSPORT,NZ-P-I379U2619,France,5/2/77,TRUE,Arthur Clark,5/3/72,"197 London Road, Liverpool, WC9 3WW",WEB
CUST-0010,Mx,Lucas,Brown,12/5/04,Prefer-Not-To-Say,United States,lucas.brown10@gmail.com,4.47224E+11,Unemployed,18687.89,API,TRUE,FALSE,2025-12-25T10:44:47Z,2025-12-08T07:03:47Z,TRUE,Permanent,120 Park Road,Apartment 4,Edinburgh,City of Edinburgh,N6 9WA,United Kingdom,120 Park Road Apartment 4 Edinburgh City of Edinburgh N6 9WA,"120 Park Road, Edinburgh, City of Edinburgh, N6 9WA, United Kingdom",RoyalMail,STANDARDIZED,Organization,50.041273,-3.037688,TRUE,UK_DL,UKDL-R15BYVZK,United Kingdom,,TRUE,Lucas Brown,12/5/04,"120 Park Road, Edinburgh, N6 9WA",API
